[0.07842652249892769, 0.07082127450445039]
[0.0690301567020872, 0.052574673729044945]
[0.07920101487298174, 0.06443744100599887]
[0.03732295422613662, 0.06372717273443533]
[0.05871046261899674, 0.0652838342785375]
[0.05935218487178438, 0.033521464065340005]
[0.3461944536645918, 0.26109555272991086]
[0.16878022755828778, 0.05854662183772652]
[0.048251935852024974, 0.06176486648828701]
[0.046525924275561674, 0.028865130937429304]
[0.27873328816724185, 0.12938349806148636]
[0.04254039561252344, 0.06653860255400144]
[0.06375693973964326, 0.02258660904431668]
[0.046249471420322014, 0.04977806554282282]
[0.07257887772872156, 0.09103447199881427]
[0.23350960234136167, 0.11523897933552278]
[0.026330315692791765, 0.038694604145376815]
[0.055145069545171406, 0.0676116107995101]
[0.06656360310221329, 0.06598240126061891]
[0.06946908623540629, 0.0715303726470657]
[0.6011818965817757, 0.37304217924815314]
[0.02719665589046162, 0.04151929542635598]
[0.046550780782282766, 0.06666653665233908]
[0.026725291647152795, 0.040316402867596]
[0.19455187810611607, 0.07166142708926523]
[0.2554300099880719, 0.13350820260392696]
[0.11342721211542511, 0.050881887183967675]
[0.4117637964979608, 0.3859295894407564]
[0.06173537823570335, 0.06352162008253309]
[0.047849078566264566, 0.056353800188780806]
[0.14261754172179808, 0.14439625246702187]
[0.1397581340644784, 0.07079046110881419]
[0.6594810143273512, 0.11190255166119306]
[0.21842261214604103, 0.09616353722180183]
[0.12814832665693626, 0.05212105374012216]
[0.3340126434743334, 0.1297294661871738]
[0.29199271886229955, 0.07215171111856526]
[0.04314392372083719, 0.041037202299693425]
[0.07560712775486633, 0.03263138597873485]
[0.13767018749990528, 0.04835089826898924]
[0.15875820529958912, 0.06859529920197206]
[0.37964646166111193, 0.1283588551458371]
[0.09453990454495165, 0.06978649047124993]
[0.05709873034782438, 0.05093649320155081]
[0.23301035031002432, 0.1137076705852985]
[0.1826534927181045, 0.11993782714855176]
[0.10743406584246128, 0.07134237192938662]
[0.039193557920965405, 0.04354439859272492]
[0.09112365051145296, 0.07090786404661793]
[0.0872002631152175, 0.05360906771926267]
[0.07395417005791262, 0.031030259534600712]
[0.10012837476337062, 0.0727695392032202]
[0.05908997903868977, 0.07904494075247091]
[0.11119558281687877, 0.06914838015149269]
[0.15823530927405363, 0.05124930767370564]
[0.6369967883574548, 0.09761332698863415]
[0.09107242185735699, 0.06490003198352458]
[0.2112790946168991, 0.05793425435482991]
[0.08601806340531112, 0.08523765318938145]
[0.4268486647963661, 0.1456424397968656]
[0.262343756394109, 0.1320006864756496]
[0.20144440554300097, 0.09817810922763688]
[0.07470107777206886, 0.025901584354595875]
[0.026616771776346006, 0.04081916827234361]
[0.047170071553395275, 0.06900016381805275]
